KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Türkçe,Greek,Dutch,Vietnamese
smwTemp,Temperature:,Temperatur:,Température :,Temperatura:,Temperatura:,Temperatura:,Temperatura:,Temperatura:,Температура:,温度:,温度：,溫度：,온도:,Sıcaklık:,Θερμοκρασία:,Temeratuur:,Nhiệt độ
svrConnecting,Connecting to server...,Verbinde mit Server...,Connexion au serveur ...,Connessione al server...,Conectando al servidor...,A ligar ao servidor...,Conectando ao servidor...,Łączenie z serwerem...,Подключение к серверу...,サーバーに接続中...,正在连接服务器...,正在連線至伺服器…,서버에 연결 중...,Sunucuya bağlanıyor...,Γίνεται Σύνδεση με τον Server…,Verbinden met server...,Đang kết nối đến máy chủ...
svrConnectingToHost,Connecting to server {0}...,Verbinde mit Server {0}...,Connexion au serveur {0} ...,Connessione al server {0} ...,Conectando al servidor {0}...,A ligar ao servidor {0}...,Conectando ao servidor {0}...,Łączenie z serwerem {0}...,Подключение к серверу {0}...,サーバー{0}に接続しています...,正在连接服务器{0}...,正在連線至伺服器{0}…,서버 {0}에 연결 중...,Sunucuya bağlanıyor {0}...,Γίνεται Σύνδεση με τον Server {0}...,Verbinden met server {0}...,Đang kết nối đến máy chủ {0}...
svrConnectingToIpPort,Connecting to server {0}:{1}...,Verbinde mit Server {0}:{1}...,Connexion au serveur {0}:{1} ...,Connessione al server {0}:{1} ...,Conectando al servidor {0}:{1}...,A ligar ao servidor {0}:{1}...,Conectando ao servidor {0}:{1}...,Łączenie z serwerem {0}:{1}...,Подключение к серверу {0}:{1}...,サーバーへの接続{0}:{1} ...,正在连接服务器{0}:{1}...,正在連線至伺服器{0}:{1}…,서버 {0}에 연결 중:{1}...,Sunucuya bağlanıyor {0}: {1}...,Γίνεται Σύνδεση με τον Server {0}:{1}...,Verbinden met server {0}:{1}...,Đang kết nối đến máy chủ {0}:{1}...
scfgAntiGriefDist,Anti-Griefing Distance,Anti-Störer Abstand,Distance Anti-Griefing,Distanza Anti-Griefing,Distancia anti-griefing,Distância Anti-Griefing,Distância Anti-Grief,Odległość ochrony przed griefem,Защита от мародеров (метров),隣接建築の禁止距離,防破坏距离,反惡意行為距離,테러방지 거리,Anti-Felaket Mesafesi,Απόσταση Anti-Griefing,Anti-pest afstand,
scfgDecayTime,Remove Time (Unvisited Mini Structures),Löschzeit nicht besuchter Mini-Strukturen,Suppression (mini-struct. non visitées),Rimozione (Strutture Piccole Non Visitate),Eliminar tiempo (mini estructuras no visitadas),Tempo Remoção (Mini estruturas não visitadas),Tempo de Remoção (Mini Estrut. sem Visitas),"Czas usunięcia nieodwiedzonych, małych struktur",Время уничтожения (не посещённых мини структур),構造物削除時間 (コア無),删除时间（无人访问的小型建筑）,移除時間（未存取的迷你建築）,제거 시간(미공개 미니 구조물),Kaldırma Süresi (Ziyaret Edilmemiş Mini Yapılar),Αφαίρεση Χρόνου (Μίνι Κατασκευές που δεν έχουν επισκεφθεί),Verwijdertijd (niet bezochte mini bouwsels),
scfgGameModeId,Game Mode,Spielmodus,Mode de jeu,Modalità di Gioco,Modo de juego,Modo de jogo,Modo de Jogo,Tryb Gry,Режим игры,ゲームモード,游戏模式,遊戲模式：,게임 모드,Oyun Modu,Λειτουργία Παιχνιδιού,Spelmodus,Chế độ chơi
scfgMaxStructures,Max. Structures per Playfield,Max. Anzahl Strukturen pro Spielfeld,Structures max par zone de jeu,Strutture Massime per Scenario,Max. Estructuras por campo de juego,Máx. Estruturas por campo de jogo,Max de Estruturas por Setor,Maksymalna liczba struktur na strefę,Макс. структур на игровое поле,プレイフィールドの構造物の最大数,每区域最大建筑数,每個遊戲場地的最大建築數,최대 플레이필드당 구조물 수,Oyun Alanı Başına max. Yapı,Μέγιστος Αριθμός Παικτών ανά πεδίο Παιχνιδιού,Max. Aantal bouwwerken per speelveld,Số cấu trúc tối đa trên mỗi sân chơi
scfgNumPlayfields,Number of Playfields,Anzahl Spielfelder,Nombre de zones de jeu,Numero di Scenari,Número de campos de juego,Número de campos de jogos,Numero de Setores,Liczba stref,Количество игровых полей,プレイフィールド数,可活动区域数,遊戲場地數量,플레이필드 수,Oyun Alanı Sayısı,Αριθμών Πεδίων Παιχνιδιού,Aantal speelvelden,
scfgNumStartPlanets,Number of Starting Planets,Anzahl Startplaneten,Nombre de planètes au départ,N. Pianeti di Partenza,Número de planetas iniciales,Número de planetas iniciais,Número de Planetas Iniciais,Liczba planet początkowych,Количество стартовых планет,開始惑星の数,可出生星球数,初始星球數量,시작 행성 수,Başlangıç Gezegeni Sayısı,Αριθμός Αρχικών Πλανητών,Aantal start planeten,Số hành tinh bắt đầu
scfgOfflProtTime,Offline Protection Time,Offline Schutzzeit,Durée protection OFFline,Durata Protezione Offline,Tiempo de protección offline,Tempo de proteção offline,Tempo de Prot. Offline,Czas działania 'Ochrony Offline',Длительность оффлайновой защиты,オフライン保護期間,离线保护时间,離線保護時間,오프라인 보호 시간,Çevrimdışı Koruma Süresi,Χρόνος Προστασίας Εκτός Σύνδεσης,Offline beschermingstijd,Thời gian bảo vệ ngoại tuyến:
scfgStopPeriod,Playfield Auto-Restart,Spielfeld Auto-Neustart,Redémarrage auto du jeu,Riavvio Automatico Scenario,Auto reiniciar campo de juego,Campo de jogo de iniciação automática,Auto-Reiniciar o Playerfield,Auto-Restart stref,Авто-перезапуск игрового поля,プレイフィールドの自動再起動,玩家活动区域自动刷新,遊戲場地自動重啟,플레이필드 자동 재시작,Oyun Alanı Oto-Yeniden Başlatma,Αυτόματη Επανεκκίνηση Πεδίου Παιχνιδιού,Speelveld automatische herstart,Tự động khởi động lại sân chơi
scfgWipeTime,Remove Time (Unvisited Structures),Löschzeit nicht besuchter Strukturen,Suppression (structures non visitées),Rimozione (Strutture Non Visitate),Eliminar tiempo (estructuras no visitadas),Tempo Remoção (Estruturas não visitadas),Tempo de Remoção (Estrut. sem Visitas),Czas usunięcia nieodwiedzonych struktur,Время уничтожения (не посещённых структур),構造物削除時間 (コア有),删除时间（无人访问的建筑）,移除時間（已存取的建築）,제거 시간(미공개 구조물),Kaldırma Süresi (Ziyaret Edilmemiş Yapılar),Αφαίρεση Χρόνου (Κατασκευές που δεν έχουν επισκεφθεί),Verwijdertijd (niet bezochte bouwsels),
sswDrillMode,Drill Mode:,Bohrmodus:,Mode de forage:,Trivellazione:,Modo de perforación:,Modo Perfuração:,Modo Furadeira:,Tryb wiertła:,Режим добычи:,ドリルモード:,挖掘模式：,鑽機模式：,드릴 모드:,Sondaj Modu:,Λειτουργία Τρυπανιού:,Boormodus:,Chế độ khoan:
sswFixed,Fixed,Fix,Corrigé,Fissa,Fijo,Arranjado,Fixo,Nieruchomy,Зафиксирован,固定,固定的,固定,수리됨,Düzeltildi,Διορθώθηκε,Vast,Đã sửa
sswFree,Free,Frei,Libre,Libera,Libre,Livre,Sem custo,Wolny,Свободен,フリー,自由的,自由,없음,Sınırsız,Δωρεάν,Los,
BadTrip,Bad Trip,Horrortrip,Délirium,Assuefatto da Farmaci,Mal viaje,Situação Difícil,Viagem Ruim,Zły trip,Токсикоз,幻覚,幻觉,惡性反應,불쾌한 여행,Kötü Yolculuk,Άσχημο Ταξίδι,Slechte trip,Bad trip
MedikitBandages,Bandages,Bandagen,Bandages,Bende,Vendas,Ligaduras,Bandagem,Bandaże,Бинты,包帯,绷带,繃帶,붕대,Bandajlar,Επίδεσμοι,Verband,Băng gạc
BrokenLeg,Broken Leg,Gebrochenes Bein,Jambe fracturée,Gamba Rotta,Pierna rota,Perna partida,Perna Quebrada,Złamana noga,Сломанная нога,骨折,断腿,斷腿,부러진 다리,Kırık Bacak,Σπασμένο Πόδι,Gebroken been,Gãy chân
ColdEffect,Too Cold,Zu Kalt,Trop froid,Troppo Freddo,Demasiado frío,Demasiado Frio,Muito Frio,Za zimno,Очень холодно,寒すぎる,耐寒,過於寒冷,너무 추움,Çok Soğuk,Πολύ Κρύο,Te koud,Quá lạnh
DecreaseBodyTemp,Reduce Temperature,Temperaturrückgang,Réduire la température,Riduzione Temperatura,Reduce temperatura,Reduzir Temperatura,Reduz Temperatura,Zredukuj temperaturę,Озноб,温度を下げる,减少体温,降低溫度,온도 감소,Sıcaklığı Azaltın,Μείωση Θερμοκρασία,Verlaag temperatuur,Giảm nhiệt độ
Fire,Catching Fire,Feuer,Inflammation,Infiammazione,En llamas,Incendiar-se,Pegando Fogo,Płoniesz,Горим!,引火,着火了,著火,불 끄기,Tutuşma,Πιάνει Φωτιά,Vlamvatten,Bắt lửa
HealBrokenLeg,Heal Broken Leg,Gebrochenes Bein heilen,Guérir la jambe fracturée,Cura Gamba Rotta,Pierna rota curada,Curar Perna Partida,Curar Perna Quebrada,Wylecz złamaną nogę,Сломанная нога излечена,骨折の治療,治疗断腿,治療斷腿,부러진 다리 치유,Kırık Bacağın İyileştir,Γιατρειά Σπασμένου Ποδιού,Genees gebroken been,Chữa lành gãy chân
HeatStroke,Heat Stroke,Hitzeschlag,Coup de chaleur,Colpo di Calore,Golpe de calor,Ataque Cardíaco,Curar o Acidente Vascular Cerebral,Udar słoneczny,Тепловой удар,熱中症,中暑,心臟病,열사병,Sıcak Çarpması,Θερμικό Εγκεφαλικό Επεισόδιο,Zonnesteek,Đột quỵ nhiệt
Hot,Too Hot,Zu Heiss,Trop chaud,Troppo Caldo,Demasiado calor,Demasiado Quente,Muito Quente,Za gorąco,Очень жарко,熱すぎる,太热了,過於炎熱,너무 뜨거움,Çok Sıcak,Πολύ Ζέστη,Te heet,Quá nóng
IncreaseBodyTemp,Increase Temperature,Temperaturanstieg,Augmenter la température,Aumento di Temperatura,Aumenta temperatura,Subir a Temperatura,Aumenta Temperatura,Zwiększ temperaturę,Горячка,温度を上げる,增加体温,提高溫度,온도 상승,Sıcaklığı Artırıın,Αύξηση Θερμοκρασίας,Verhoog temperatuur,Cảm nóng
LowFood,Low Food,Hunger,Urgent de se nourrir,Affamato,Bajo en alimento,Comida Baixo,Com Fome,Głód,Голод,空腹,饿了,食物不足,식량 부족,Düşük Gıda,Λίγο Φαγητό,Honger,Sắp đói
MedicStation,First Aid,Erste Hilfe,Premiers soins,Primo Soccorso,Primeros auxílios,Primeiros Socorros,Primeiros Socorros,Pierwsza pomoc,Первая помощь (Мед станция),応急処置,急救,急救,응급 처치,İlk Yardım,Πρώτες Βοήθειες,Eerste hulp,Sơ cứu
MedikitLarge,First Aid,Erste Hilfe,Premiers soins,Primo Soccorso,Primeros auxílios,Primeiros Socorros,Primeiros Socorros,Pierwsza pomoc,Первая помощь (Большая аптечка),応急処置,急救,急救,응급 처치,Büyük Sağlık Paketi,Πρώτες Βοήθειες,Eerste hulp,Sơ cứu
MedikitSmall,First Aid,Erste Hilfe,Premiers soins,Primo Soccorso,Primeros auxílios,Primeiros Socorros,Primeiros Socorros,Pierwsza pomoc,Первая помощь (Малая аптечка),応急処置,急救,急救,응급 처치,Küçük Sağlık Paketi,Πρώτες Βοήθειες,Eerste hulp,Sơ cứu
NoFood,Starving,Verhungern,Affamé,Morendo di Fame,Inanición,Passar Fome,Morrendo de Fome,Umierasz z głodu,Истощение,飢餓,饥饿,饑餓,기아,Çok Aç,Λιμοκτονία,Verhongeren,Đang đói
NoOxygen,No Oxygen,Kein Sauerstoff,Pas d'oxygène,Senza Ossigeno,Sin oxígeno,Sem oxigénio,Sem Oxigênio,Brak tlenu,Нет воздуха,酸素欠乏,缺氧,無氧氣,산소 없음,Oksijen Yok,Χωρίς Οξυγόνο,Geen zuurstof,Không có oxy
OpenWound,Open Wound,Offene Wunde,Plaie ouverte,Ferita Aperta,Herida abierta,Ferida Aberta,Ferida Aberta,Otwarta rana,Открытая рана,開放創,外伤,傷口開裂,열린 상처,Açık Yara,Ανοιχτή Πληγή,Open wond,Vết thương hở
Parasite1,Parasite Stage 1,Parasit Stufe 1,Parasite étape 1,Parassita Stadio 1,Fase del parásito 1,Fase Parasita 1,Parasita Estágio 1,Pasożyt stadium 1,Паразит (стадия 1),寄生ステージ1,寄生虫感染阶段 1,寄生階段1,기생충 단계 1,Parazit Aşama 1,Παρασιτικό Στάδιο 1,Parasiet stadium 1,Nhiễm trùng giai đoạn 1
Parasite2,Parasite Stage 2,Parasit Stufe 2,Parasite étape 2,Parassita Stadio 2,Fase del parásito 2,Fase Parasita 2,Parasita Estágio 2,Pasożyt stadium 2,Паразит (стадия 2),寄生ステージ2,寄生虫感染阶段 2,寄生階段2,기생충 단계 2,Parazit Aşama 2,Παρασιτικό Στάδιο 2,Parasiet stadium 2,Nhiễm trùng giai đoạn 2
Parasite3,Parasite Stage 3,Parasit Stufe 3,Parasite étape 3,Parassita Stadio 3,Fase del parásito 3,Fase Parasita 3,Parasita Estágio 3,Pasożyt stadium 3,Паразит (стадия 3),寄生ステージ3,寄生虫感染阶段 3,寄生階段3,기생충 단계 3,Parazit Aşama 3,Παρασιτικό Στάδιο 3,Parasiet stadium 3,Nhiễm trùng giai đoạn 3
PoisonBit,Poisonous Bite,Giftbiss,Morsure envenimée,Morso Velenoso,Mordedura venenosa,Dentada Venenosa,Picada Venenosa,Jadowite ukąszenie,Ядовитый укус,毒咬傷,毒咬伤,有毒叮咬,위독한 물린 상처,Zehirli Isırık,Δηλητηριώδες Δάγκωμα,Giftige beet,Vết cắn có độc
PoisonFood,Food Poisoning,Lebensmittelvergiftung,Intoxication alimentaire,Avvelenamento da Cibo,Intoxicación,Intoxicação Alimentar,Intoxicação Alimentar,Zatrucie pokarmowe,Пищевое отравление,食中毒,食物中毒,食物中毒,식중독,Gıda Zehirlenmesi,Τροφική Δηλητηρίαση,Voedselvergiftiging,Ngộ độc thực phẩm
RadiationSick1,Radiation Sickness 1,Strahlungserkrankung 1,Irradiation aiguë 1,Malattia da Radiazioni 1,Envenenamiento por radiación 1,Doença da radiação 1,Doença por Radiação 1,Choroba popromienna 1,Поражение радиацией стадия 1,被爆(軽度),辐射病阶段1,輻射症狀1,방사선 병 1,Radyasyon Hastalığı 1,Ασθένεια Ακτινοβολίας 1,Stralingsziekte 1,Nhiễm xạ cấp 1
RadiationSick2,Radiation Sickness 2,Strahlungserkrankung 2,Irradiation aiguë 2,Malattia da Radiazioni 2,Envenenamiento por radiación 2,Doença da radiação 2,Doença por Radiação 2,Choroba popromienna 2,Поражение радиацией стадия 2,被爆(重度),辐射病阶段2,輻射症狀2,방사선 병 2,Radyasyon Hastalığı 2,Ασθένεια Ακτινοβολίας 2,Stralingsziekte 2,Nhiễm xạ cấp 2
ReduceRadiation,Reduce Radiation,Strahlungsreduktion,Réduire les radiations,Riduzione Radiazioni,Reduce la radiación,Reduzir a Radiação,Reduz radiação,Zmniejsza promieniowanie,Низкая радиация,放射線を減少,减少辐射,降低輻射,방사선 감소,Radyasyonu Azaltın,Μείωση Ακτινοβολίας,Verminder straling,
StaminaBoost,Stamina Boost,Ausdauerschub,Booster d'endurance,Potenziamento Vigore,Chute de resistencia,Reforço da Resistência,Reforço pra Stamina,Dopalacz do kondycji,Выносливость повышена,スタミナブースト,耐力爆发,耐力強化,체력 상승,Dayanıklılık Güçlendirici,Προώθηση Αντοχής,Uithoudingsvermogen boost,Tăng cường thể lực
StaminaRecover,Stamina Recovery,Ausdauerwiederherstellung,Récupération d'endurance,Recupero Vigore,Recuperar el aliento,Recuperação da Resistência,Recuperação de Estamina,Regeneracja kondycji,Выносливость восстановлена,スタミナ回復,耐力回复,耐力恢復,체력 회복,Dayanıklılık Geri Kazanımı,Επαναφορά Αντοχής,Uithoudingsvermogen herstel,Phục hồi thể lực
StimBoosterDown,Stim Booster Down,Stim Booster Runter,Booster STIM (bas),Stim Booster (meno),Refuerzo Stim (Disminuir),Reforço Stim Baixar,Stim Booster pra Baixo,Stim dopalacz zmniejszony,Стимулятор деактивирован,スティムブースターダウン,兴奋效果下降,興奮強化劑失效,스팀 부스터 다운,Güçlendirici Hareketini Düşür,Κάτω Προωθητήρας Stim,Uithoudingsvermogen boost verlaag,
StimBoosterUp,Stim Booster Up,Stim Booster Hoch,Booster STIM (haut),Stim Booster (più),Refuerzo Stim (Aumentar),Reforço Stim Aumentar,Stim Booster pra Cima,Stim dopalacz zwiększony,Стимулятор активирован,スティムブースターアップ,兴奋效果上升,興奮強化劑生效,스틴 부스터 업,Güçlendirici Hareketini Arttır,Επάνω Προωθητήρας Stim,Uithoudingsvermogen boost verhoog,
Build,Build,Build,Version,Versione,Versión,Construir,Versão,Wersja,Версия,ビルド,版本,建造,빌드,Sürüm,Έκδοση,Gebouwd,Xây dựng
Direct IP and Port:,Direct IP and Port:,Direkte IP und Port:,IP et Port directs:,IP e Porta Diretti:,IP directa y puerto:,Porta e IP diretos:,IP Direto e Porta:,Bezpośredni IP i Port:,Прямой IP и порт:,直接接続IP＆ポート:,直连IP和端口：,直連IP與連接埠：,직접 IP 및 포트:,Direkt IP ve Port:,Απευθείας IP και Πόρτα:,Direct IP en poort:,
Hide incompatible builds,Hide incompatible builds,Keine Inkompatible Versionen,Masquer les versions incompatibles,Nascondi Versioni Incompatibili,Esconder construcciones incompatibles,Ocultar construções incompatíveis,Ocultar Versões Incompatíveis,Ukryj niekompatybilne wersje,Скрыть несовместимые версии,互換性のないサーバを隠す,隐藏不相容版本,隱藏不相容版本,호환되지 않는 빌드 숨기기,Uyumsuz yapıları gizle,Απόκρυψη ασύμβατων εκδόσεων,Verberg niet compatibele versies,Ẩn server không tương thích phiên bản
Hide password protected,Hide password protected,Nicht Passwortgeschützt,Masquer mot de passe protégé,Nascondi Protetti da Password,Esconder contraseña protegida,Ocultar palavra-passe protegida,Ocultar Protegidos por Senha,Ukryj chronione hasłem,Скрыть защищенные паролем,パスワードで保護されたサーバを隠す,隐藏加密服务器,隱藏受保護密碼,보호된 비밀번호 숨기기,Parola korumalı olanları gizle,Απόκρυψη όσων είναι προστατευμένοι με Κωδικό Πρόσβασης,Verberg paswoord beveiligd,Ẩn server có mật khẩu
Ping,Ping,Ping,Ping,Ping,Latencia,Ping,Ping,Ping,Пинг,Ping,延迟,延遲,핑(Ping),Ping,Ping,Ping,
Players,Players,Spieler,Joueurs,Giocatori,Jugadores,Jogadores,Jogadores,Gracze,Игроки,プレーヤー,玩家数,玩家,플레이어,Oyuncu,Παίκτες,Spelers,Số người chơi
Refresh,Refresh,Aktualisieren,Actualisation,Aggiorna,Actualizar,Atualizar,Atualizar,Odśwież,Обновить,リフレッシュ,刷新,刷新,새로 고침,Yenile,Ανανέωση,Vernieuw,Làm mới
Server List,Server List,Server Liste,Liste des serveurs,Lista Server,Lista de servidor,Lista de Servidor,Lista de Servidores,Lista serwerów,Список серверов,サーバーリスト,服务器列表,伺服器清單,서버 목록,Sunucu Listesi,Λίστα Server,Server lijst,Danh sách máy chủ
Server Name,Server Name,Server Name,Nom du serveur,Nome Server,Nombre de servidor,Nome de Servidor,Nome do Servidor,Nazwa serwera,Имя сервера,サーバーの名称,服务器名称,伺服器名稱,서버 이름,Sunucu Adı,Όνομα Server,Server naam,Tên máy chủ
ServerPassword,Please enter password for server:,Bitte gib das Passwort für den Server ein,Tapez le mot du passe du serveur:,Inserisci la Password per il Server:,"Por favor, introduce la contraseña de servidor:",Inserir palavra-passe para servidor:,Por favor digite a senha:,Podaj hasło:,"Пожалуйста, введите пароль сервера:",サーバーのパスワードを入力してください:,请输入密码：,請輸入伺服器密碼：,서버 비밀번호를 입력하십시오:,Lütfen sunucu parolasını girin:,Παρακαλώ βάλε τον Κωδικό Πρόσβασης του Server,Voer een wachtwoord in voor de server:,Vui lòng nhập mật khẩu cho máy chủ
Stop Refresh,Stop Refresh,Aktualisieren anhalten,Arrêter l'actualisation,Stop,Para refrescar,Parar Atualização,Parar Atualização,Zatrzymaj,Остановить обновление,更新停止,停止刷新,停止刷新,새로 고침 중지,Durdur,Σταμάτημα Ανανέωσης,Stop vernieuwen,Dừng làm mới
Total Servers:,Total Servers:,Server insgesamt:,Total serveurs:,Server Totali:,Total de servidores:,Total de Servidores:,Total de Servidores:,Liczba dostępnych serwerów:,Всего серверов:,合計サーバー:,总服务器数：,總計伺服器：,총 서버 수:,Toplam Sunucular:,Συνολικοί Servers,Totaal servers,Tổng số máy chủ:
ttwTechTreeTitle,TECH TREE,TECHNIKBAUM,ARBRE TECHNOLOGIQUE,ALBERO TECNOLOGICO,ÁRBOL TECNOLÓGICO,ÁRVORE TECNOLÓGICA,ÁRVORE DE HABILIDADES,DRZEWO TECHNOLOGII,ТЕХНОЛОГИИ,テックツリー,科技树,科技樹,테크 트리,TEKNOLOJİ AĞACI,ΤΕΧΝΟΛΟΓΙΚΟ ΔΕΝΤΡΟ,TECH BOOM,CÂY CÔNG NGHỆ
txtCouldNotReadLogPleaseAttach,Could not read log file: {0}\n\n>> PLEASE attach the log file manually - thank you! <<,Konnte log-Datei nicht lesen: {0}\n\n>> BITTE Log-Datei anhängen - danke! >>,Impossible de lire le fichier : {0}\n\n>> Veuillez joindre le fichier manuellement - merci ! <<,Impossibile leggere il file di registro: {0}\n\n>> Si Prega di allegare manualmente il file di registro - grazie! <<,No se pudo leer el archivo {0}\n\n>> Adjunta el archivo manualmente ¡gracias!<<,Não foi possível ler ficheiro de registo: {0}\n\n>> Ligue o ficheiro de registo manualmente. Obrigado! <<,Não foi possível ler o arquivo de LOG :{0}\n\n>> FAVOR anexar o arquivo de LOG manualmente - Obrigado!,Nie można odczytać pliku dziennika: {0}\n\n>> PROSIMY załączyć plik dziennika własnoręcznie - dziękujemy! <<,"Не удалось прочитать файл журнала: {0}\n\n>> Пожалуйста, приложите файл журнала вручную - спасибо! <<",ログファイル:{0}を読み取れませんでした\n \n >>手動でログファイルを添付してください -お手数おかけします！ <<,无法读取日志文件：{0}\n\n>> 请手动添加日志文件 - 多谢！ <<,無法讀取日誌檔：{0}\n\n請手動掛載日誌檔 - 謝謝！<<,로그 파일을 읽을 수 없습니다: {0}\n\n>> 수동으로 로그 파일을 첨부하십시오. 감사합니다! <<,Günlük dosyası okunamadı: {0}\n\n>> Lütfen günlük dosyasını manuel olarak ekleyin. Teşekkür ederim! <,Δεν μπόρεσε να διαβαστεί το αρχείο καταγραφής: {0}\n\n>> ΠΑΡΑΚΑΛΩ επισύναψε το αρχείο καταγραφής χειροκίνητα - Ευχαριστούμε! <<,Kon het logbestand niet lezen: {0} \ n \ n >> voegt u alstublieft het logbestand handmatig bij? - dank u! <<,
txtDescribeWhatHappened,Please DESCRIBE what you did before the error occurred:\n\n>\n,Bitte BESCHREIBE was vor dem Fehler passiert ist:\n\n>\n,Décrivez ce que vous faisiez avant que l'erreur ne se produise:\n\n>,Si prega di descrivere ciò che si è fatto prima dell'errore:\n\n>\n,"Por favor, describe lo que hiciste antes de que el error ocurriera:\n\n>\n",DESCREVA o que fez antes de ocorrer o erro:\n\n>\n,Por favor DESCREVA o que estava fazendo antes do erro ocorrer:\n\n>,"Prosimy OPISAĆ, co robiłeś przed wystąpieniem błędu:\n\n>\n","Пожалуйста, опишите, что вы делали перед ошибкой:\n\n>\n",エラーが発生する前に行った事を説明してください:\n\n>\n,请坦白你在报错前都干了什么：\n\n>\n,請描述錯誤發生之前的情況：\n\n>\n,오류가 발생하기 전에 하셨던 일을 기술하십시오.\n\n>\n,Lütfen hata oluşmadan önce ne yaptığınızı AÇIKLAYIN:\n\n>\n,Παρακαλώ ΠΕΡΙΕΓΡΑΨΕ τι έκανες ακριβώς πριν παρουσιαστεί το σφάλμα:\n\n>\n,Beschrijf alstublieft wat u deed voordat de fout zich voordeed: \ n \ n> \ n,
txtNoEmailSoftwareInstalled,You have no email software installed,Du hast keine Email-Software installiert,Vous n'avez pas de client e-mail installé.,Non hai installato alcun software di posta elettronica,No tienes instalado ningún software de correo,Não tem software de email instalado,Você não tem programa de e-mail instalado,Nie masz zainstalowanego oprogramowania pocztowego,У вас нет программы для отправки электронной почты,電子メールソフトウェアがインストールされていません,你没有安装收发电子邮件的软件,您並未安裝郵件軟體,설치된 이메일 소프트웨어가 없습니다.,Yüklü e-posta yazılımınız yok,Δεν έχεις εγκατεστημένο κάποιο λογισμικό αποστολής email,U hebt geen e-mailsoftware geïnstalleerd,
txtPleaseAttachLog,Please ATTACH the latest Client_*.log files from {0}\n\n,Bitte hänge die neuesten Client_*.log Dateien aus {0} an\n\n,Veuillez joindre le dernier fichier Client_*.log depuis {0},Si prega di allegarre gli ultimi Client_*.log file da {0}\n\n,"Por favor, adjunta los últimos archivos del cliente_* de {0}\n\n",ANEXE os ficheiros mais recentes Cliente_*.log de {0}\n\n,Favor ANEXAR o último arquivo Client_*.log de {0},"Prosimy, ZAŁĄCZYĆ, najnowsze pliki Client_*.log z {0}\n\n",Пожалуйста приложите самый новый Client_*.log файл из {0}\n\n,最新のクライアントに関連付けてください_*.{0}からのログファイル\n\n,请将 {0} 处最新的 Client_*.log 文件粘贴到附件\n\n,請從{0}掛載最新Client_*.log文件\n\n,{0}에서 최신 Client_*.log 파일을 첨부하십시오.\n\n,En Son Client_*.log dosyalarını {0}'dan EKLEYİN\n\n,Παρακαλώ ΕΠΙΣΥΝΑΨΕ τα τελευταία αρχεία Client_*.log από {0}\n\n,BEVESTIG de nieuwste Client _ *. Logbestanden van {0} \ n \ n,
texChooseColor,Choose Color,Wähle eine Farbe aus,Choisissez une couleur,Scegli Colore,Elegir color,Escolher Cor,Escolha a Cor,Wybierz kolor,Выберите цвет,色を選択,选择颜色,選擇顏色,색상 선택,Renk Seç,Επιλογή Χρώματος,Kies een kleur,Chọn màu
texChooseTexture,Choose Texture,Wähle ein Textur aus,Choissisez une texture,Scegli Texture,Elegir textura,Escolher Textura,Escolha a Textura,Wybierz teksturę,Выберите текстуру,テクスチャを選択,选择纹理,選擇材質,텍스처 선택,Doku Seç,Επιλογή Διακόσμησης,Kies Textuur,Chọn kết cấu bề mặt
texNote,Note: You cannot use symbols from different pages on the same block,Beachte: Du kannst keine Symbole von verschiedenen Seiten auf dem selben Block verwenden,Note: Vous ne pouvez pas utiliser les symboles sur différents cotés d'un un même bloc,Nota: Non è possibile utilizzare i simboli da diverse pagine sullo stesso blocco,Nota: No puedes usar símbolos de páginas diferentes en el mismo bloque,Nota: Não pode usar símbolos de páginas diferentes no mesmo bloco,Nota: você não pode utilizar símbolos de diferentes páginas no mesmo bloco,Uwaga: Nie możesz używać symboli z różnych stron na tym samym bloku,Вы не можете использовать символы с разных страниц на одном блоке,注:同じブロックに異なるページのシンボルを使用することはできません,注意：你不能在一个方块上使用不同页的符号,注意：你不能在同一方塊上使用不同頁碼的符號,주: 같은 블록에 있는 다른 페이지의 기호는 사용할 수 없습니다.,Not: aynı Blokta farklı sayfalardan semboller kullanamazsınız,Σημείωση: Δεν μπορείς να χρησιμοποιήσεις σύμβολα από διαφορετικές σελίδες στο ίδιο μπλοκ,Opmerking: u kunt geen symbolen van verschillende pagina's op hetzelfde blok gebruiken,
texPage,Page {0} / {1},Page {0} / {1},Page {0} / {1},Pagina {0} / {1},Página {0} / {1},Página {0} / {1},Página {0} / {1},Stron {0} / {1},Страница {0} / {1},ページ{0} / {1},页{0}/{1},{0} / {1}頁,페이지 {0} / {1},Sayfa {0} / {1},Σελίδα {0} / {1},Pagina {0} / {1},
texSymbols,Symbols,Symbole,Symboles,Simboli,Símbolos,Símbolos,Symbolos,Symbole,Символы,シンボル,符号,符號,기호,Semboller,Σύμβολα,Symbolen,Biểu tượng
texTextures,Textures,Texturen,Textures,Texture,Texturas,Texturas,Texturas,Tekstury,Текстуры,テクスチャ,纹理,材質,텍스처,Dokular,Διακοσμητικά,Texturen,
